Execution time summary:
 mean (ms)   median (ms)    max (ms)     min (ms)     std (ms)  
   0.8311       0.8311       0.8312       0.8311       0.0000   
               
Node Name                                                                                                                                                           Ops                                                                                                                                                                 Time(us)  Time(%)  Shape           Inputs  Outputs  Measurements(us)  
tvmgen_welder_divide_cast_multiply_add_27                                                                                                                           tvmgen_welder_divide_cast_multiply_add_27                                                                                                                           7.834     0.41     (1, 768)        4       1        [7.834]           
tvmgen_welder_divide_cast_multiply_add_56                                                                                                                           tvmgen_welder_divide_cast_multiply_add_56                                                                                                                           7.834     0.41     (1, 768)        4       1        [7.834]           
tvmgen_welder_divide_cast_multiply_add_92                                                                                                                           tvmgen_welder_divide_cast_multiply_add_92                                                                                                                           7.834     0.41     (1, 1, 768)     4       1        [7.834]           
tvmgen_welder_divide_cast_multiply_add_179                                                                                                                          tvmgen_welder_divide_cast_multiply_add_179                                                                                                                          7.834     0.41     (1, 1, 768)     4       1        [7.834]           
tvmgen_welder_reshape_transpose_19_nn_batch_matmul_20_reshape_reshape_transpose_reshape_21                                                                          tvmgen_welder_reshape_transpose_19_nn_batch_matmul_20_reshape_reshape_transpose_reshape_21                                                                          7.829     0.409    (1, 1, 768)     2       1        [7.829]           
tvmgen_welder_divide_cast_multiply_add_208                                                                                                                          tvmgen_welder_divide_cast_multiply_add_208                                                                                                                          7.829     0.409    (1, 1, 768)     4       1        [7.829]           
tvmgen_welder_divide_cast_multiply_add_266                                                                                                                          tvmgen_welder_divide_cast_multiply_add_266                                                                                                                          7.829     0.409    (1, 1, 768)     4       1        [7.829]           
tvmgen_welder_subtract_cast_multiply_32_mean_add_sqrt_33                                                                                                            tvmgen_welder_subtract_cast_multiply_32_mean_add_sqrt_33                                                                                                            7.828     0.409    (1, 1, 768)     2       2        [7.828]           
tvmgen_welder_subtract_cast_multiply_32_mean_add_sqrt_33                                                                                                            tvmgen_welder_subtract_cast_multiply_32_mean_add_sqrt_33                                                                                                            7.828     0.409    (1, 1, 1)       2       2        [7.828]           
tvmgen_welder_subtract_cast_multiply_54_mean_add_sqrt_55                                                                                                            tvmgen_welder_subtract_cast_multiply_54_mean_add_sqrt_55                                                                                                            7.828     0.409    (1, 768)        2       2        [7.828]           
tvmgen_welder_subtract_cast_multiply_54_mean_add_sqrt_55                                                                                                            tvmgen_welder_subtract_cast_multiply_54_mean_add_sqrt_55                                                                                                            7.828     0.409    (1, 1)          2       2        [7.828]           
tvmgen_welder_reshape_transpose_222_nn_batch_matmul_223_reshape_reshape_transpose_reshape_224                                                                       tvmgen_welder_reshape_transpose_222_nn_batch_matmul_223_reshape_reshape_transpose_reshape_224                                                                       7.828     0.409    (1, 1, 768)     2       1        [7.828]           
tvmgen_welder_reshape_transpose_135_nn_batch_matmul_136_reshape_reshape_transpose_reshape_137                                                                       tvmgen_welder_reshape_transpose_135_nn_batch_matmul_136_reshape_reshape_transpose_reshape_137                                                                       7.827     0.409    (1, 1, 768)     2       1        [7.827]           
tvmgen_welder_subtract_cast_multiply_3_mean_add_sqrt_4                                                                                                              tvmgen_welder_subtract_cast_multiply_3_mean_add_sqrt_4                                                                                                              7.824     0.409    (1, 1, 768)     2       2        [7.824]           
tvmgen_welder_subtract_cast_multiply_3_mean_add_sqrt_4                                                                                                              tvmgen_welder_subtract_cast_multiply_3_mean_add_sqrt_4                                                                                                              7.824     0.409    (1, 1, 1)       2       2        [7.824]           
tvmgen_welder_reshape_transpose_251_nn_batch_matmul_252_reshape_reshape_transpose_reshape_253                                                                       tvmgen_welder_reshape_transpose_251_nn_batch_matmul_252_reshape_reshape_transpose_reshape_253                                                                       7.824     0.409    (1, 1, 768)     2       1        [7.824]           
tvmgen_welder_subtract_cast_multiply_293_mean_add_sqrt_294                                                                                                          tvmgen_welder_subtract_cast_multiply_293_mean_add_sqrt_294                                                                                                          7.823     0.409    (1, 1, 768)     2       2        [7.823]           
tvmgen_welder_subtract_cast_multiply_293_mean_add_sqrt_294                                                                                                          tvmgen_welder_subtract_cast_multiply_293_mean_add_sqrt_294                                                                                                          7.823     0.409    (1, 1, 1)       2       2        [7.823]           
tvmgen_welder_divide_cast_multiply_add_353                                                                                                                          tvmgen_welder_divide_cast_multiply_add_353                                                                                                                          7.819     0.409    (1, 1, 768)     4       1        [7.819]           
tvmgen_welder_divide_cast_multiply_add_295                                                                                                                          tvmgen_welder_divide_cast_multiply_add_295                                                                                                                          7.818     0.409    (1, 1, 768)     4       1        [7.818]           
tvmgen_welder_reshape_transpose_77_nn_batch_matmul_78_reshape_reshape_transpose_reshape_79                                                                          tvmgen_welder_reshape_transpose_77_nn_batch_matmul_78_reshape_reshape_transpose_reshape_79                                                                          7.814     0.408    (1, 1, 768)     2       1        [7.814]           
tvmgen_welder_reshape_transpose_309_nn_batch_matmul_310_reshape_reshape_transpose_reshape_311                                                                       tvmgen_welder_reshape_transpose_309_nn_batch_matmul_310_reshape_reshape_transpose_reshape_311                                                                       7.814     0.408    (1, 1, 768)     2       1        [7.814]           
tvmgen_welder_divide_cast_multiply_add_121                                                                                                                          tvmgen_welder_divide_cast_multiply_add_121                                                                                                                          7.809     0.408    (1, 1, 768)     4       1        [7.809]           
tvmgen_welder_subtract_cast_multiply_25_mean_add_sqrt_26                                                                                                            tvmgen_welder_subtract_cast_multiply_25_mean_add_sqrt_26                                                                                                            7.808     0.408    (1, 768)        2       2        [7.808]           
tvmgen_welder_subtract_cast_multiply_25_mean_add_sqrt_26                                                                                                            tvmgen_welder_subtract_cast_multiply_25_mean_add_sqrt_26                                                                                                            7.808     0.408    (1, 1)          2       2        [7.808]           
tvmgen_welder_divide_cast_multiply_add_237                                                                                                                          tvmgen_welder_divide_cast_multiply_add_237                                                                                                                          7.808     0.408    (1, 1, 768)     4       1        [7.808]           
tvmgen_welder_divide_cast_multiply_add_324                                                                                                                          tvmgen_welder_divide_cast_multiply_add_324                                                                                                                          7.808     0.408    (1, 1, 768)     4       1        [7.808]           
tvmgen_welder_reshape_transpose_193_nn_batch_matmul_194_reshape_reshape_transpose_reshape_195                                                                       tvmgen_welder_reshape_transpose_193_nn_batch_matmul_194_reshape_reshape_transpose_reshape_195                                                                       7.807     0.408    (1, 1, 768)     2       1        [7.807]           
tvmgen_welder_reshape_transpose_164_nn_batch_matmul_165_reshape_reshape_transpose_reshape_166                                                                       tvmgen_welder_reshape_transpose_164_nn_batch_matmul_165_reshape_reshape_transpose_reshape_166                                                                       7.803     0.408    (1, 1, 768)     2       1        [7.803]           
tvmgen_welder_reshape_transpose_106_nn_batch_matmul_107_reshape_reshape_transpose_reshape_108                                                                       tvmgen_welder_reshape_transpose_106_nn_batch_matmul_107_reshape_reshape_transpose_reshape_108                                                                       7.799     0.408    (1, 1, 768)     2       1        [7.799]           
tvmgen_welder_take_add_1                                                                                                                                            tvmgen_welder_take_add_1                                                                                                                                            7.772     0.406    (1, 1, 768)     3       1        [7.772]           
tvmgen_welder_divide_cast_multiply_add_34                                                                                                                           tvmgen_welder_divide_cast_multiply_add_34                                                                                                                           7.767     0.406    (1, 1, 768)     4       1        [7.767]           
tvmgen_welder_reshape_transpose_280_nn_batch_matmul_281_reshape_reshape_transpose_reshape_282                                                                       tvmgen_welder_reshape_transpose_280_nn_batch_matmul_281_reshape_reshape_transpose_reshape_282                                                                       7.767     0.406    (1, 1, 768)     2       1        [7.767]           
tvmgen_welder_add_reshape_226                                                                                                                                       tvmgen_welder_add_reshape_226                                                                                                                                       7.697     0.402    (1, 768)        2       1        [7.697]           
tvmgen_welder_add_reshape_255                                                                                                                                       tvmgen_welder_add_reshape_255                                                                                                                                       7.677     0.401    (1, 768)        2       1        [7.677]           
tvmgen_welder_add_reshape_139                                                                                                                                       tvmgen_welder_add_reshape_139                                                                                                                                       7.663     0.401    (1, 768)        2       1        [7.663]           
tvmgen_welder_add_reshape_52                                                                                                                                        tvmgen_welder_add_reshape_52                                                                                                                                        7.66      0.4      (1, 768)        2       1        [7.66]            
tvmgen_welder_reshape_transpose_38                                                                                                                                  tvmgen_welder_reshape_transpose_38                                                                                                                                  7.658     0.4      (1, 12, 1, 64)  1       1        [7.658]           
tvmgen_welder_reshape_transpose_250                                                                                                                                 tvmgen_welder_reshape_transpose_250                                                                                                                                 7.658     0.4      (1, 12, 1, 64)  1       1        [7.658]           
tvmgen_welder_reshape_transpose_337                                                                                                                                 tvmgen_welder_reshape_transpose_337                                                                                                                                 7.655     0.4      (1, 12, 1, 64)  1       1        [7.655]           
tvmgen_welder_reshape_transpose_221                                                                                                                                 tvmgen_welder_reshape_transpose_221                                                                                                                                 7.646     0.4      (1, 12, 1, 64)  1       1        [7.646]           
tvmgen_welder_add_reshape_349                                                                                                                                       tvmgen_welder_add_reshape_349                                                                                                                                       7.643     0.4      (1, 1, 768)     2       1        [7.643]           
tvmgen_welder_add_reshape_284                                                                                                                                       tvmgen_welder_add_reshape_284                                                                                                                                       7.641     0.399    (1, 768)        2       1        [7.641]           
tvmgen_welder_add_reshape_81                                                                                                                                        tvmgen_welder_add_reshape_81                                                                                                                                        7.638     0.399    (1, 768)        2       1        [7.638]           
tvmgen_welder_add_reshape_110                                                                                                                                       tvmgen_welder_add_reshape_110                                                                                                                                       7.638     0.399    (1, 768)        2       1        [7.638]           
tvmgen_welder_reshape_transpose_transpose_213                                                                                                                       tvmgen_welder_reshape_transpose_transpose_213                                                                                                                       7.634     0.399    (12, 1, 64)     1       1        [7.634]           
tvmgen_welder_add_reshape_168                                                                                                                                       tvmgen_welder_add_reshape_168                                                                                                                                       7.631     0.399    (1, 768)        2       1        [7.631]           
tvmgen_welder_add_reshape_313                                                                                                                                       tvmgen_welder_add_reshape_313                                                                                                                                       7.626     0.399    (1, 768)        2       1        [7.626]           
tvmgen_welder_reshape_transpose_transpose_329                                                                                                                       tvmgen_welder_reshape_transpose_transpose_329                                                                                                                       7.626     0.399    (12, 1, 64)     1       1        [7.626]           
tvmgen_welder_add_reshape_342                                                                                                                                       tvmgen_welder_add_reshape_342                                                                                                                                       7.623     0.398    (1, 768)        2       1        [7.623]           
tvmgen_welder_add_reshape_23                                                                                                                                        tvmgen_welder_add_reshape_23                                                                                                                                        7.621     0.398    (1, 768)        2       1        [7.621]           
tvmgen_welder_reshape_transpose_18                                                                                                                                  tvmgen_welder_reshape_transpose_18                                                                                                                                  7.618     0.398    (1, 12, 1, 64)  1       1        [7.618]           
tvmgen_welder_add_reshape_197                                                                                                                                       tvmgen_welder_add_reshape_197                                                                                                                                       7.618     0.398    (1, 768)        2       1        [7.618]           
tvmgen_welder_reshape_transpose_328                                                                                                                                 tvmgen_welder_reshape_transpose_328                                                                                                                                 7.616     0.398    (1, 12, 1, 64)  1       1        [7.616]           
tvmgen_welder_reshape_transpose_transpose_39                                                                                                                        tvmgen_welder_reshape_transpose_transpose_39                                                                                                                        7.611     0.398    (12, 1, 64)     1       1        [7.611]           
tvmgen_welder_reshape_transpose_47                                                                                                                                  tvmgen_welder_reshape_transpose_47                                                                                                                                  7.6       0.397    (1, 12, 1, 64)  1       1        [7.6]             
tvmgen_welder_reshape_transpose_212                                                                                                                                 tvmgen_welder_reshape_transpose_212                                                                                                                                 7.582     0.396    (1, 12, 1, 64)  1       1        [7.582]           
tvmgen_welder_reshape_transpose_76                                                                                                                                  tvmgen_welder_reshape_transpose_76                                                                                                                                  7.577     0.396    (1, 12, 1, 64)  1       1        [7.577]           
tvmgen_welder_mean_89                                                                                                                                               tvmgen_welder_mean_89                                                                                                                                               7.577     0.396    (1, 1, 1)       1       1        [7.577]           
tvmgen_welder_mean_111                                                                                                                                              tvmgen_welder_mean_111                                                                                                                                              7.577     0.396    (1, 1)          1       1        [7.577]           
tvmgen_welder_mean_82                                                                                                                                               tvmgen_welder_mean_82                                                                                                                                               7.567     0.396    (1, 1)          1       1        [7.567]           
tvmgen_welder_mean_198                                                                                                                                              tvmgen_welder_mean_198                                                                                                                                              7.562     0.395    (1, 1)          1       1        [7.562]           
tvmgen_welder_mean_147                                                                                                                                              tvmgen_welder_mean_147                                                                                                                                              7.557     0.395    (1, 1, 1)       1       1        [7.557]           
tvmgen_welder_add_reshape_233                                                                                                                                       tvmgen_welder_add_reshape_233                                                                                                                                       7.556     0.395    (1, 1, 768)     2       1        [7.556]           
tvmgen_welder_mean_292                                                                                                                                              tvmgen_welder_mean_292                                                                                                                                              7.556     0.395    (1, 1, 1)       1       1        [7.556]           
tvmgen_welder_mean_60                                                                                                                                               tvmgen_welder_mean_60                                                                                                                                               7.547     0.395    (1, 1, 1)       1       1        [7.547]           
tvmgen_welder_add_reshape_146                                                                                                                                       tvmgen_welder_add_reshape_146                                                                                                                                       7.547     0.395    (1, 1, 768)     2       1        [7.547]           
tvmgen_welder_mean_205                                                                                                                                              tvmgen_welder_mean_205                                                                                                                                              7.547     0.395    (1, 1, 1)       1       1        [7.547]           
tvmgen_welder_add_reshape_262                                                                                                                                       tvmgen_welder_add_reshape_262                                                                                                                                       7.542     0.394    (1, 1, 768)     2       1        [7.542]           
tvmgen_welder_mean_263                                                                                                                                              tvmgen_welder_mean_263                                                                                                                                              7.538     0.394    (1, 1, 1)       1       1        [7.538]           
tvmgen_welder_add_reshape_320                                                                                                                                       tvmgen_welder_add_reshape_320                                                                                                                                       7.538     0.394    (1, 1, 768)     2       1        [7.538]           
tvmgen_welder_mean_256                                                                                                                                              tvmgen_welder_mean_256                                                                                                                                              7.537     0.394    (1, 1)          1       1        [7.537]           
tvmgen_welder_mean_314                                                                                                                                              tvmgen_welder_mean_314                                                                                                                                              7.537     0.394    (1, 1)          1       1        [7.537]           
tvmgen_welder_mean_24                                                                                                                                               tvmgen_welder_mean_24                                                                                                                                               7.533     0.394    (1, 1)          1       1        [7.533]           
tvmgen_welder_add_reshape_30                                                                                                                                        tvmgen_welder_add_reshape_30                                                                                                                                        7.532     0.394    (1, 1, 768)     2       1        [7.532]           
tvmgen_welder_mean_140                                                                                                                                              tvmgen_welder_mean_140                                                                                                                                              7.532     0.394    (1, 1)          1       1        [7.532]           
tvmgen_welder_mean_31                                                                                                                                               tvmgen_welder_mean_31                                                                                                                                               7.531     0.394    (1, 1, 1)       1       1        [7.531]           
tvmgen_welder_reshape_transpose_241                                                                                                                                 tvmgen_welder_reshape_transpose_241                                                                                                                                 7.522     0.393    (1, 12, 1, 64)  1       1        [7.522]           
tvmgen_welder_mean_285                                                                                                                                              tvmgen_welder_mean_285                                                                                                                                              7.522     0.393    (1, 1)          1       1        [7.522]           
tvmgen_welder_mean_350                                                                                                                                              tvmgen_welder_mean_350                                                                                                                                              7.518     0.393    (1, 1, 1)       1       1        [7.518]           
tvmgen_welder_add_reshape_88                                                                                                                                        tvmgen_welder_add_reshape_88                                                                                                                                        7.513     0.393    (1, 1, 768)     2       1        [7.513]           
tvmgen_welder_mean_176                                                                                                                                              tvmgen_welder_mean_176                                                                                                                                              7.513     0.393    (1, 1, 1)       1       1        [7.513]           
tvmgen_welder_mean_321                                                                                                                                              tvmgen_welder_mean_321                                                                                                                                              7.513     0.393    (1, 1, 1)       1       1        [7.513]           
tvmgen_welder_mean_169                                                                                                                                              tvmgen_welder_mean_169                                                                                                                                              7.508     0.392    (1, 1)          1       1        [7.508]           
tvmgen_welder_add_reshape_175                                                                                                                                       tvmgen_welder_add_reshape_175                                                                                                                                       7.508     0.392    (1, 1, 768)     2       1        [7.508]           
tvmgen_welder_add_reshape_59                                                                                                                                        tvmgen_welder_add_reshape_59                                                                                                                                        7.503     0.392    (1, 1, 768)     2       1        [7.503]           
tvmgen_welder_add_reshape_117                                                                                                                                       tvmgen_welder_add_reshape_117                                                                                                                                       7.503     0.392    (1, 1, 768)     2       1        [7.503]           
tvmgen_welder_mean_118                                                                                                                                              tvmgen_welder_mean_118                                                                                                                                              7.503     0.392    (1, 1, 1)       1       1        [7.503]           
tvmgen_welder_reshape_transpose_163                                                                                                                                 tvmgen_welder_reshape_transpose_163                                                                                                                                 7.503     0.392    (1, 12, 1, 64)  1       1        [7.503]           
tvmgen_welder_add_reshape_204                                                                                                                                       tvmgen_welder_add_reshape_204                                                                                                                                       7.503     0.392    (1, 1, 768)     2       1        [7.503]           
tvmgen_welder_reshape_transpose_125                                                                                                                                 tvmgen_welder_reshape_transpose_125                                                                                                                                 7.498     0.392    (1, 12, 1, 64)  1       1        [7.498]           
tvmgen_welder_reshape_transpose_154                                                                                                                                 tvmgen_welder_reshape_transpose_154                                                                                                                                 7.498     0.392    (1, 12, 1, 64)  1       1        [7.498]           
tvmgen_welder_add_reshape_291                                                                                                                                       tvmgen_welder_add_reshape_291                                                                                                                                       7.498     0.392    (1, 1, 768)     2       1        [7.498]           
tvmgen_welder_mean_234                                                                                                                                              tvmgen_welder_mean_234                                                                                                                                              7.497     0.392    (1, 1, 1)       1       1        [7.497]           
tvmgen_welder_reshape_transpose_308                                                                                                                                 tvmgen_welder_reshape_transpose_308                                                                                                                                 7.493     0.392    (1, 12, 1, 64)  1       1        [7.493]           
tvmgen_welder_reshape_transpose_105                                                                                                                                 tvmgen_welder_reshape_transpose_105                                                                                                                                 7.483     0.391    (1, 12, 1, 64)  1       1        [7.483]           
tvmgen_welder_reshape_transpose_183                                                                                                                                 tvmgen_welder_reshape_transpose_183                                                                                                                                 7.483     0.391    (1, 12, 1, 64)  1       1        [7.483]           
tvmgen_welder_reshape_transpose_279                                                                                                                                 tvmgen_welder_reshape_transpose_279                                                                                                                                 7.483     0.391    (1, 12, 1, 64)  1       1        [7.483]           
tvmgen_welder_reshape_transpose_96                                                                                                                                  tvmgen_welder_reshape_transpose_96                                                                                                                                  7.478     0.391    (1, 12, 1, 64)  1       1        [7.478]           
tvmgen_welder_reshape_transpose_134                                                                                                                                 tvmgen_welder_reshape_transpose_134                                                                                                                                 7.478     0.391    (1, 12, 1, 64)  1       1        [7.478]           
tvmgen_welder_reshape_transpose_270                                                                                                                                 tvmgen_welder_reshape_transpose_270                                                                                                                                 7.474     0.391    (1, 12, 1, 64)  1       1        [7.474]           
tvmgen_welder_reshape_transpose_transpose_184                                                                                                                       tvmgen_welder_reshape_transpose_transpose_184                                                                                                                       7.473     0.391    (12, 1, 64)     1       1        [7.473]           
tvmgen_welder_reshape_transpose_192                                                                                                                                 tvmgen_welder_reshape_transpose_192                                                                                                                                 7.464     0.39     (1, 12, 1, 64)  1       1        [7.464]           
tvmgen_welder_reshape_transpose_299                                                                                                                                 tvmgen_welder_reshape_transpose_299                                                                                                                                 7.463     0.39     (1, 12, 1, 64)  1       1        [7.463]           
tvmgen_welder_reshape_transpose_transpose_300                                                                                                                       tvmgen_welder_reshape_transpose_transpose_300                                                                                                                       7.461     0.39     (12, 1, 64)     1       1        [7.461]           
tvmgen_welder_reshape_transpose_transpose_68                                                                                                                        tvmgen_welder_reshape_transpose_transpose_68                                                                                                                        7.454     0.39     (12, 1, 64)     1       1        [7.454]           
tvmgen_welder_reshape_transpose_transpose_126                                                                                                                       tvmgen_welder_reshape_transpose_transpose_126                                                                                                                       7.454     0.39     (12, 1, 64)     1       1        [7.454]           
tvmgen_welder_reshape_transpose_transpose_242                                                                                                                       tvmgen_welder_reshape_transpose_transpose_242                                                                                                                       7.445     0.389    (12, 1, 64)     1       1        [7.445]           
tvmgen_welder_reshape_transpose_67                                                                                                                                  tvmgen_welder_reshape_transpose_67                                                                                                                                  7.43      0.388    (1, 12, 1, 64)  1       1        [7.43]            
tvmgen_welder_reshape_transpose_transpose_97                                                                                                                        tvmgen_welder_reshape_transpose_transpose_97                                                                                                                        7.43      0.388    (12, 1, 64)     1       1        [7.43]            
tvmgen_welder_reshape_transpose_9                                                                                                                                   tvmgen_welder_reshape_transpose_9                                                                                                                                   7.428     0.388    (1, 12, 1, 64)  1       1        [7.428]           
tvmgen_welder_reshape_transpose_transpose_271                                                                                                                       tvmgen_welder_reshape_transpose_transpose_271                                                                                                                       7.419     0.388    (12, 1, 64)     1       1        [7.419]           
tvmgen_welder_reshape_transpose_transpose_10                                                                                                                        tvmgen_welder_reshape_transpose_transpose_10                                                                                                                        7.416     0.388    (12, 1, 64)     1       1        [7.416]           
